fare_id,route_id,origin_id,destination_id,contains_id
FP,10A,,,
FP,10B,,,
FP,11B,,,
FP,11C,,,
FP,11K,,,
FP,11M,,,
FP,12F,,,
FP,2F,,,
FP,3A,,,
FP,3B,,,
FP,3C,,,
GR,BW2,,,
GR,BW4,,,
GR,JAK.01,,,
GR,JAK.02,,,
GR,JAK.03,,,
GR,JAK.04,,,
GR,JAK.05,,,
GR,JAK.06,,,
GR,JAK.07,,,
GR,JAK.08,,,
GR,JAK.09,,,
GR,JAK.10,,,
GR,JAK.10A,,,
GR,JAK.10B,,,
GR,JAK.11,,,
GR,JAK.112,,,
GR,JAK.117,,,
GR,JAK.12,,,
GR,JAK.13,,,
GR,JAK.14,,,
GR,JAK.15,,,
GR,JAK.16,,,
GR,JAK.17,,,
GR,JAK.18,,,
GR,JAK.19,,,
GR,JAK.20,,,
GR,JAK.21,,,
GR,JAK.22,,,
GR,JAK.24,,,
GR,JAK.25,,,
GR,JAK.26,,,
GR,JAK.27,,,
GR,JAK.28,,,
GR,JAK.29,,,
GR,JAK.30,,,
GR,JAK.31,,,
GR,JAK.32,,,
GR,JAK.33,,,
GR,JAK.34,,,
GR,JAK.35,,,
GR,JAK.36,,,
GR,JAK.37,,,
GR,JAK.38,,,
GR,JAK.39,,,
GR,JAK.40,,,
GR,JAK.41,,,
GR,JAK.42,,,
GR,JAK.44,,,
GR,JAK.45,,,
GR,JAK.46,,,
GR,JAK.47,,,
GR,JAK.49,,,
GR,JAK.50,,,
GR,JAK.51,,,
GR,JAK.52,,,
GR,JAK.53,,,
GR,JAK.54,,,
GR,JAK.56,,,
GR,JAK.58,,,
GR,JAK.59,,,
GR,JAK.60,,,
GR,JAK.61,,,
GR,JAK.64,,,
GR,JAK.71,,,
GR,JAK.72,,,
GR,JAK.73,,,
GR,JAK.74,,,
GR,JAK.75,,,
GR,JAK.77,,,
GR,JAK.80,,,
GR,JAK.84,,,
GR,JAK.85,,,
GR,JAK.88,,,
PP,1K,,,
PP,6P,,,
PP,B13,,,
PP,B14,,,
PP,D31,,,
PP,S12,,,
PP,S31,,,
FP,1,,,
FP,2,,,
FP,3,,,
FP,4,,,
FP,5,,,
FP,6,,,
FP,7,,,
FP,8,,,
FP,9,,,
FP,10,,,
FP,11,,,
FP,12,,,
FP,13,,,
FP2,14,,,
FP,10D,,,
FP,10H,,,
FP,10K,,,
FP,11D,,,
FP,11Q,,,
FP,12A,,,
FP,12B,,,
FP,12P,,,
FP,13C,,,
FP,13D,,,
FP,1A,,,
FP,1B,,,
FP,1C,,,
FP,1E,,,
FP,1F,,,
FP2,1H,,,
FP,1M,,,
FP2,1N,,,
FP2,1P,,,
FP,1Q,,,
FP2,1R,,,
FP,2A,,,
FP,2B,,,
FP,2P,,,
FP,2Q,,,
FP,3E,,,
FP,3F,,,
FP2,4B,,,
FP,4C,,,
FP,4D,,,
FP2,4F,,,
FP,5B,,,
FP,5C,,,
FP,5D,,,
FP2,5F,,,
FP2,5M,,,
FP,5N,,,
FP,6A,,,
FP,6B,,,
FP,6C,,,
FP,6D,,,
FP,6H,,,
FP,6M,,,
FP,6N,,,
FP,6Q,,,
FP2,7A,,,
FP,7B,,,
FP,7C,,,
FP,7D,,,
FP,7E,,,
FP,7F,,,
FP,7P,,,
FP2,8C,,,
FP,8D,,,
FP,8E,,,
FP,8K,,,
FP,9A,,,
FP,9C,,,
FP,9D,,,
FP,9E,,,
FP2,9H,,,
FP,B21,,,
FP,D11,,,
FP2,D21,,,
FP,JIS3,,,
FP,S11,,,
FP,S21,,,
FP,2ST,,,
FP,T11,,,
FP,12H,,,
FP,L13E,,,
FP,B11,,,
GR,GR4,,,
GR,GR5,,,
FP,S22,,,
FP,M1,,,
FP,M11,,,
GR,JAK.113,,,
FP,M10,,,
FP,M12,,,
FP,M13,,,
FP,M2,,,
FP,M3,,,
FP,M4,,,
FP,M5,,,
FP,M6,,,
FP,M7,,,
FP,M8,,,
FP,M9,,,
PP,D32,,,
GR,JAK.115,,,
FP,6U,,,
GR,JAK.86,,,
FP,12C,,,
FP,11N,,,
FP,2H,,,
FP,11P,,,
GR,JAK.120,,,
GR,JAK.43B,,,
GR,JAK.43C,,,
GR,JAK.110A,,,
GR,JAK.118,,,
FP,6V,,,
FP,8M,,,
GR,JAK.99,,,
FP,2E,,,
FP,4E,,,
FP,9F,,,
FP2,7Q,,,
FP2,6T,,,
GR,JAK.106,,,
GR,JAK.23,,,
FP2,R1A,,,
GR,BW9,,,
PP,1T,,,
FP,9N,,,
FP,8A,,,
FP,3H,,,
GR,8ST,,,
GR,JAK.48A,,,
FP,9ST,,,
FP,10ST,,,
GR,JAK.100,,,
FP,T12,,,
FP,7R,,,
FP,7T,,,
FP,6K,,,
GR,SH1,,,
GR,JAK.105,,,
GR,JAK.89,,,
GR,JAK.90,,,
FP,7U,,,
FP,7V,,,
PP,1U,,,
PP2,TP1,,,
PP2,TP2,,,
GR,FIBA WC 2023,,,
GR,JAK.87,,,
GR,JAK.98,,,
GR,JAK.76,,,
