bus_code,koridor,gpsdatetime,latitude,longitude,color,gpsheading,gpsspeed,is_new,trip_id
TJ0843,4B,14/9/2023 20:06:14,-6.211538,106.854753,,117,18.1,0,D21.003
TJ0843,4B,14/9/2023 20:06:17,-6.211602,106.854883,,114,17.8,0,D21.003
TJ0843,4B,14/9/2023 20:06:19,-6.21165,106.854978,,117,19.3,0,D21.003
TJ0843,4B,14/9/2023 20:06:22,-6.211713,106.855115,,116,18,0,D21.003
TJ0843,4B,14/9/2023 20:06:24,-6.21175,106.85519,,113,17.7,0,D21.003
TJ0843,4B,14/9/2023 20:06:27,-6.211783,106.855297,,110,13.3,0,D21.003
TJ0843,4B,14/9/2023 20:06:29,-6.211807,106.85536,,108,12.2,0,D21.003
TJ0843,4B,14/9/2023 20:06:31,-6.211825,106.855422,,109,13.7,0,D21.003
TJ0843,4B,14/9/2023 20:06:33,-6.211848,106.855498,,109,17.3,0,D21.003
TJ0843,4B,14/9/2023 20:06:36,-6.211888,106.855642,,107,20.9,0,D21.003
TJ0843,4B,14/9/2023 20:06:38,-6.211927,106.855757,,107,22.7,0,D21.003
TJ0843,4B,15/9/2023 08:35:49,-6.303407,106.840677,,281,44.7,0,D21.003
TJ0843,4B,15/9/2023 08:35:53,-6.303362,106.84046,,281,44,0,D21.003
TJ0843,4B,15/9/2023 08:35:57,-6.30334,106.840353,,281,44.4,0,D21.003
TJ0843,4B,15/9/2023 08:36:02,-6.303252,106.83992,,282,44.8,0,D21.003
TJ0843,4B,15/9/2023 08:36:05,-6.303227,106.839812,,282,44,0,D21.003
TJ0843,4B,15/9/2023 08:36:14,-6.30315,106.839493,,283,43.7,0,D21.003
TJ0843,4B,15/9/2023 08:36:18,-6.303095,106.839282,,285,44.6,1,D21.003
TJ0843,4B,15/9/2023 08:36:22,-6.303002,106.838958,,286,45.7,1,D21.003
TJ0843,4B,15/9/2023 08:36:25,-6.302937,106.838742,,287,44.8,1,D21.003
