stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00001P,,18 Office Park,,-6.299146,106.8321,1,,0,2,,
B00002P,,ABA,,-6.194149,106.83939,1,,0,2,,
B00003P,,Acacia Residence,,-6.263358,106.75675,1,,0,2,,
B00004P,,ACC Simatupang,,-6.304475,106.84858,1,,0,2,,
B00005P,,ACE Hardware,,-6.387532,106.82738,1,,0,2,,
B00006P,,ACE Hardware Kelapa Gading,,-6.157009,106.89905,1,,0,2,,
B00008P,,Adam Malik 1,,-6.236396,106.74776,1,,0,2,,
B00011P,,Agrowisata Cilangkap,,-6.339786,106.9013,1,,0,2,,
B00013P,,Ahmad Yani Pisangan Baru,,-6.211477,106.87374,1,,0,2,,
B00014P,,Airy Eco Binus,,-6.195282,106.78881,1,,0,2,,
B00015P,,Akademi Farmasi Mahadhika,,-6.312819,106.8693,1,,0,2,,
B00016P,,Akbid Yaspen Tugu Ibu,,-6.360213,106.8835,1,,0,2,,
B00017P,,Akper Fatmawati Pondok Labu,,-6.313187,106.79931,1,,0,2,,
B00018P,,AKR Tower,,-6.190732,106.76743,1,,0,2,,
B00019P,,Akses Bawah Flyover Raya Bogor,,-6.307687,106.86456,1,,0,2,,
B00020P,,Akses Bawah Jembatan Marunda,,-6.110376,106.94129,1,,0,2,,
B00021P,,Akses Bawah Sungai Landak,,-6.109857,106.94134,1,,0,2,,
B00022P,,Akses Jembatan Ciliwung Balekambang,,-6.283554,106.84945,1,,0,2,,
B00026P,,Al Izhar Pondok Labu 1,,-6.311534,106.79094,1,,0,2,,
B00027P,,Al Izhar Pondok Labu 2,,-6.311504,106.79104,1,,0,2,,
B00028P,,Al Khairiyah School,,-6.236593,106.9176,1,,0,2,,
B00029P,,Al Mahbubiyah,,-6.291866,106.81255,1,,0,2,,
B00031P,,Al Wathoniyah 1,,-6.192036,106.9353,1,,0,2,,
B00032P,,Al Wathoniyah 2,,-6.192425,106.93568,1,,0,2,,
B00033P,,Aljabr Islamic School,,-6.308023,106.80371,1,,0,2,,
B00034P,,Allianz,,-6.209233,106.83076,1,,0,2,,
B00036P,,Ampera 2,,-6.292641,106.81563,1,,0,2,,
B00037P,,Ampera 3,,-6.291196,106.81706,1,,0,2,,
B00038P,,Ampera 4,,-6.291345,106.8172,1,,0,2,,
B00039P,,Ampera Garden,,-6.288794,106.81818,1,,0,2,,
B00040P,,Ampera Yos Sudarso,,-6.122624,106.89322,1,,0,2,,
B00041P,,Ananda Pulo Gadung,,-6.185254,106.90716,1,,0,2,,
B00042P,,Andara Margasatwa 1,,-6.313471,106.80369,1,,0,2,,
B00043P,,Andara Margasatwa 2,,-6.313577,106.80356,1,,0,2,,
B00044P,,Andara Margasatwa 3,,-6.312832,106.80338,1,,0,2,,
B00045P,,Andara Margasatwa 4,,-6.312578,106.80356,1,,0,2,,
B00046P,,Aneka Apotek,,-6.151647,106.87959,1,,0,2,,
B00048P,,Aneka PIK Penggilingan,,-6.202636,106.92867,1,,0,2,,
B00051P,,Anggrek Neli Murni,,-6.18968,106.79438,1,,0,2,,
B00052P,,Antena III,,-6.250453,106.79171,1,,0,2,,
B00053P,,Antena II,,-6.25033,106.79163,1,,0,2,,
B00054P,,Apartemen Gading Nias,,-6.154358,106.91615,1,,0,2,,
B00055P,,Apartemen Kedoya Elok 1,,-6.18847,106.768804,1,,0,2,,
B00056P,,Apartemen Kedoya Elok 2,,-6.188259,106.76855,1,,0,2,,
B00057P,,Apartemen Metro Sunter,,-6.13396,106.87208,1,,0,2,,
B00058P,,Apartemen Simprug Teras,,-6.232197,106.78874,1,,0,2,,
B00059P,,Apotik Emilia Rawamangun,,-6.202019,106.88477,1,,0,2,,
B00060P,,Apotik Rini Rawamangun,,-6.199914,106.88595,1,,0,2,,
B00062P,,Aries Utama,,-6.197385,106.75145,1,,0,2,,
B00063P,,Aries Utama III,,-6.197454,106.74602,1,,0,2,,
B00064P,,Ariobimo Sentral,,-6.227471,106.83328,1,,0,2,,
B00065P,,Arion Mall,,-6.193631,106.89068,1,,0,2,,
B00066P,,Arsip Nasional RI 1,,-6.279439,106.81987,1,,0,2,,
B00067P,,Arsip Nasional RI 2,,-6.279481,106.81995,1,,0,2,,
B00068P,,Artha Gading 1,,-6.144287,106.8907,1,,0,2,,
B00069P,,ASMI 1,,-6.17171,106.88889,1,,0,2,,
B00070P,,ASMI 2,,-6.172158,106.88894,1,,0,2,,
B00071P,,Asrama Brimob Cilincing,,-6.104565,106.93689,1,,0,2,,
B00072P,,Asrama Haji Pondok Gede,,-6.290541,106.88827,1,,0,2,,
B00073P,,Asrama Marinir Marunda 1,,-6.114597,106.95034,1,,0,2,,
B00074P,,Asrama Marinir Marunda 2,,-6.114579,106.95023,1,,0,2,,
B00075P,,Asrama Polri Cideng,,-6.178925,106.81262,1,,0,2,,
B00076P,,Asshomadiyah Medicare Centre 1,,-6.295486,106.89804,1,,0,2,,
B00077P,,Asshomadiyah Medicare Centre 2,,-6.29557,106.89825,1,,0,2,,
B00078P,,Astek,,-6.291175,106.66598,1,,0,2,,
B00079P,,Aston Pluit 1,,-6.124693,106.79511,1,,0,2,,
B00080P,,Aston Pluit 2,,-6.124268,106.79419,1,,0,2,,
B00081P,,At Thahiriah 1,,-6.210032,106.93803,1,,0,2,,
B00082P,,At Thahiriah 2,,-6.210011,106.93809,1,,0,2,,
B00084P,,Atrium 2,,-6.17687,106.84042,1,,0,2,,
B00085P,,Aula Simfonia,,-6.152158,106.8436,1,,0,2,,
B00086P,,AURI Jatibaru,,-6.182985,106.81407,1,,0,2,,
B00087P,,Auto 2000,,-6.25922,106.78922,1,,0,2,,
B00088P,,Awab Dalam,,-6.224877,106.8696,1,,0,2,,
