bus_code,koridor,gpsdatetime,latitude,longitude,color,gpsheading,gpsspeed,is_new,trip_id
MYS23375,D21,21/9/2023 23:53:30,-6.343,106.871435,Putih,187,7.1,0,D21.003
MYS23375,D21,21/9/2023 23:53:34,-6.343087,106.871418,Putih,148,8.8,0,D21.003
MYS23375,D21,21/9/2023 23:53:38,-6.343165,106.871522,Putih,98,18.1,0,D21.003
MYS23375,D21,21/9/2023 23:53:42,-6.343167,106.8717,Putih,97,18.3,0,D21.003
MYS23375,D21,21/9/2023 23:53:53,-6.343192,106.871832,Putih,97,0,0,D21.003
MYS23375,D21,21/9/2023 23:54:14,-6.343235,106.871895,Putih,154,11.5,0,D21.003
MYS23375,D21,21/9/2023 23:54:18,-6.343388,106.871888,Putih,188,17.7,0,D21.003
MYS23375,D21,21/9/2023 23:54:22,-6.343572,106.871843,Putih,198,18.6,0,D21.003
MYS23375,D21,21/9/2023 23:54:26,-6.343777,106.871797,Putih,193,17.5,0,D21.003
MYS23375,D21,21/9/2023 23:54:31,-6.344068,106.871738,Putih,190,24.5,0,D21.003
MYS23375,D21,21/9/2023 23:54:35,-6.344287,106.871693,Putih,191,18.6,0,D21.003
MYS23375,D21,21/9/2023 23:54:39,-6.344432,106.871645,Putih,232,13.6,0,D21.003
MYS23375,D21,21/9/2023 23:54:43,-6.344477,106.871498,Putih,260,13.2,0,D21.003
MYS23375,D21,21/9/2023 23:54:47,-6.344503,106.871388,Putih,257,12.6,0,D21.003
MYS23375,D21,21/9/2023 23:54:51,-6.344543,106.871267,Putih,266,10.4,0,D21.003
MYS23375,D21,21/9/2023 23:54:56,-6.344518,106.871147,Putih,300,7.1,0,D21.003
MYS23375,D21,21/9/2023 23:55:00,-6.344487,106.871097,Putih,300,4.1,0,D21.003
MYS23375,D21,21/9/2023 23:55:04,-6.344463,106.871047,Putih,300,3.1,1,D21.003
MYS23375,D21,21/9/2023 23:55:08,-6.344448,106.871027,Putih,300,1.5,1,D21.003
MYS23375,D21,21/9/2023 23:55:11,-6.344447,106.871023,Putih,300,0,1,D21.003
TJ0843,4B,14/9/2023 20:06:14,-6.211538,106.854753,,117,18.1,0,4.B011
TJ0843,4B,14/9/2023 20:06:17,-6.211602,106.854883,,114,17.8,0,4.B011
TJ0843,4B,14/9/2023 20:06:19,-6.21165,106.854978,,117,19.3,0,4.B011
TJ0843,4B,14/9/2023 20:06:22,-6.211713,106.855115,,116,18,0,4.B011
TJ0843,4B,14/9/2023 20:06:24,-6.21175,106.85519,,113,17.7,0,4.B011
TJ0843,4B,14/9/2023 20:06:27,-6.211783,106.855297,,110,13.3,0,4.B011
TJ0843,4B,14/9/2023 20:06:29,-6.211807,106.85536,,108,12.2,0,4.B011
TJ0843,4B,14/9/2023 20:06:31,-6.211825,106.855422,,109,13.7,0,4.B011
TJ0843,4B,14/9/2023 20:06:33,-6.211848,106.855498,,109,17.3,0,4.B011
TJ0843,4B,14/9/2023 20:06:36,-6.211888,106.855642,,107,20.9,0,4.B011
TJ0843,4B,14/9/2023 20:06:38,-6.211927,106.855757,,107,22.7,0,4.B011
TJ0843,4B,15/9/2023 04:35:49,-6.303407,106.840677,,281,44.7,0,4.B011
