route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10A,Tije,10A,Rusun Marunda - Tanjung Priok,,3,,9B7172,000000
10B,Tije,10B,Rusun Cipinang Besar Selatan - Penas Kalimalang,,3,,9B7172,000000
10D,Tije,10D,Kampung Rambutan - Tanjung Priok,,3,,9B1F21,FFFFFF
10H,Tije,10H,Tanjung Priok - Blok M,,3,,9B1F21,FFFFFF
10K,Tije,10K,Tanjung Priok - Senen via Taman BMW,,3,,9B474A,FFFFFF
10,Tije,10,Tanjung Priok - PGC 2,,3,,9B1F21,FFFFFF
11B,Tije,11B,Rusun Rawa Bebek - Penggilingan,,3,,717092,FFFFFF
11C,Tije,11C,Rusun Pinus Elok - Rusun Pulo Gebang,,3,,717092,FFFFFF
11D,Tije,11D,Pulo Gebang - Pulo Gadung 2 via PIK,,3,,504F92,FFFFFF
11K,Tije,11K,Rusun Komarudin - Penggilingan,,3,,717092,FFFFFF
11M,Tije,11M,Rusun Rawa Bebek - Bukit Duri,,3,,717092,FFFFFF
11N,Tije,11N,Rusun Cipinang Muara - Jatinegara,,3,,717092,FFFFFF
11P,Tije,11P,Rusun Pondok Bambu - Walikota Jakarta Timur,,3,,717092,FFFFFF
11Q,Tije,11Q,Kampung Melayu - Pulo Gebang via BKT,,3,,504F92,FFFFFF
11,Tije,11,Pulo Gebang - Matraman,,3,,312F92,FFFFFF
12A,Tije,12A,Pelabuhan Kaliadem - Kota,,3,,91BF91,000000
12B,Tije,12B,Pluit - Senen,,3,,91BF91,000000
12C,Tije,12C,Rusun Waduk Pluit - Penjaringan,,3,,A8BFA8,000000
12F,Tije,12F,Rusun Marunda - Rusun Waduk Pluit,,3,,A8BFA8,000000
12H,Tije,12H,Rusun Penjaringan - Penjaringan,,3,,A8BFA8,000000
12P,Tije,12P,St. LRT Pegangsaan Dua - JIS,,3,,91BF91,000000
12,Tije,12,Tanjung Priok - Pluit,,3,,7ABF7C,000000
13C,Tije,13C,Puri Beta - Dukuh Atas,,3,,7A357B,FFFFFF
13D,Tije,13D,Puri Beta - Ragunan,,3,,7A357B,FFFFFF
13,Tije,13,Ciledug - Tendean,,3,,7A357B,FFFFFF
14,Tije,14,Jakarta International Stadium - Senen,,3,,F5AB6E,000000
1A,Tije,1A,Pantai Maju - Balai Kota,,3,,D65E62,000000
1B,Tije,1B,Stasiun Palmerah - Tosari,,3,,D65E62,000000
1C,Tije,1C,Pesanggrahan - Blok M,,3,,D65E62,000000
1E,Tije,1E,Pondok Labu - Blok M,,3,,D65E62,000000
1F,Tije,1F,Stasiun Palmerah - Bundaran Senayan,,3,,D65E62,000000
1H,Tije,1H,Tanah Abang - Stasiun Gondangdia,,3,,D65E62,000000
1K,Tije,1K,Cibubur Junction - Blok M,,3,,9C4782,FFFFFF
1M,Tije,1M,Meruya - Blok M,,3,,D65E62,000000
1N,Tije,1N,Tanah Abang - Blok M,,3,,D65E62,000000
1P,Tije,1P,Senen - Blok M,,3,,D65E62,000000
1Q,Tije,1Q,Rempoa - Blok M,,3,,D65E62,000000
1,Tije,1,Blok M - Kota,,3,,D62126,FFFFFF
1R,Tije,1R,Senen - Tanah Abang,,3,,D65E62,000000
1T,Tije,1T,Cibubur - Balai Kota,,3,,9C4782,FFFFFF
2A,Tije,2A,Pulo Gadung 1 - Rawa Buaya,,3,,2F489C,FFFFFF
2B,Tije,2B,Harapan Indah - ASMI,,3,,54659C,FFFFFF
2E,Tije,2E,Rusun Rawa Bebek - Kodamar,,3,,78809C,000000
2F,Tije,2F,Rusun Cakung Barat - Pulo Gadung,,3,,78809C,000000
2H,Tije,2H,Rusun Jati Rawasari - Senen,,3,,78809C,000000
2P,Tije,2P,Gondangdia - Senen,,3,,54659C,FFFFFF
2Q,Tije,2Q,Gondangdia - Balai Kota,,3,,54659C,FFFFFF
2,Tije,2,Pulo Gadung - Monas,,3,,2F489C,FFFFFF
2ST,Tije,2ST,Juanda - Bundaran HI via Pasar Baru,,3,,2F489C,FFFFFF
3A,Tije,3A,Rusun Pesakih - Kalideres,,3,,FDECB4,000000
3B,Tije,3B,Rusun Flamboyan - Cengkareng,,3,,FDECB4,000000
3C,Tije,3C,Rusun Kapuk Muara - Penjaringan,,3,,FDECB4,000000
3E,Tije,3E,Puri Kembangan - Sentraland Cengkareng,,3,,FDDB6A,000000
3F,Tije,3F,Kalideres - Gelora Bung Karno,,3,,FDCB1C,000000
3H,Tije,3H,Jelambar - Kota,,3,,FDCB1C,000000
3,Tije,3,Kalideres - Monas via Veteran,,3,,FDCB1C,000000
4B,Tije,4B,Stasiun Manggarai - UI,,3,,553C62,FFFFFF
4C,Tije,4C,TU Gas - Bundaran Senayan,,3,,553C62,FFFFFF
4D,Tije,4D,Pulo Gadung 2 - Kuningan,,3,,512C62,FFFFFF
4E,Tije,4E,Rusun Jatinegara Kaum - Pulo Gadung,,3,,5C5062,FFFFFF
4F,Tije,4F,Pinang Ranti - Pulo Gadung,,3,,553C62,FFFFFF
4,Tije,4,Pulo Gadung 2 - Dukuh Atas 2,,3,,512C62,FFFFFF
5B,Tije,5B,Stasiun Tebet - BNN,,3,,D48961,000000
5C,Tije,5C,PGC - Juanda,,3,,D46425,000000
5D,Tije,5D,PGC 1 - Ancol,,3,,D46425,000000
5F,Tije,5F,Kampung Melayu - Tanah Abang,,3,,D48961,000000
5M,Tije,5M,Kampung Melayu - Tanah Abang via Cikini,,3,,D48961,000000
5N,Tije,5N,Kampung Melayu - Ragunan,,3,,D48961,000000
5,Tije,5,Matraman Baru - Ancol,,3,,D46425,000000
6A,Tije,6A,Ragunan - MH Thamrin via Kuningan,,3,,1BAC47,FFFFFF
6B,Tije,6B,Ragunan - MH Thamrin via Semanggi,,3,,1BAC47,FFFFFF
6C,Tije,6C,Stasiun Tebet - Karet via Patra Kuningan,,3,,4CAC67,000000
6D,Tije,6D,Stasiun Tebet - Bundaran Senayan,,3,,4CAC67,000000
6H,Tije,6H,Senen - Lebak Bulus,,3,,4CAC67,000000
6M,Tije,6M,Stasiun Manggarai - Blok M,,3,,4CAC67,000000
6N,Tije,6N,Ragunan - Blok M via Kemang,,3,,4CAC67,000000
6P,Tije,6P,Cibubur - Kuningan,,3,,9C4782,FFFFFF
6Q,Tije,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,,3,,4CAC67,000000
6,Tije,6,Ragunan - Dukuh Atas 2,,3,,1BAC47,FFFFFF
6T,Tije,6T,Pasar Minggu - Velbak,,3,,4CAC67,000000
6U,Tije,6U,Pasar Minggu - Blok M,,3,,4CAC67,000000
7A,Tije,7A,Kampung Rambutan - Lebak Bulus,,3,,916131,FFFFFF
7B,Tije,7B,Kampung Rambutan - Blok M,,3,,916131,FFFFFF
7C,Tije,7C,Cibubur - BKN,,3,,916131,FFFFFF
7D,Tije,7D,TMII - Tegal Parang,,3,,916131,FFFFFF
7E,Tije,7E,Kampung Rambutan - Ragunan,,3,,916131,FFFFFF
7F,Tije,7F,Kampung Rambutan - Juanda,,3,,914900,FFFFFF
7P,Tije,7P,Pondok Kelapa - BKN,,3,,916131,FFFFFF
7Q,Tije,7Q,Blok M - PGC,,3,,916131,FFFFFF
7,Tije,7,Kampung Rambutan - Bidara Cina,,3,,914900,FFFFFF
8A,Tije,8A,Jelambar - Juanda,,3,,DD3393,FFFFFF
8C,Tije,8C,Kebayoran Lama - Tanah Abang,,3,,DD6AAB,000000
8D,Tije,8D,Joglo - Blok M,,3,,DD6AAB,000000
8E,Tije,8E,Bintaro - Blok M,,3,,DD6AAB,000000
8K,Tije,8K,Batu Sari - Jelambar,,3,,DD6AAB,000000
8M,Tije,8M,S. Parman - Tanah Abang,,3,,DD6AAB,000000
8,Tije,8,Lebak Bulus - Pasar Baru,,3,,DD3393,FFFFFF
8ST,Tije,8ST,Senayan JCC - Slipi Kemanggisan,,3,,DD6AAB,000000
9A,Tije,9A,PGC 2 - Latumeten,,3,,45A49E,FFFFFF
9C,Tije,9C,Pinang Ranti - Bundaran Senayan,,3,,45A49E,FFFFFF
9D,Tije,9D,Pasar Minggu - Tanah Abang,,3,,66A4A0,FFFFFF
9E,Tije,9E,Kebayoran Lama - Jelambar,,3,,66A4A0,FFFFFF
9F,Tije,9F,Rusun Tambora - Pluit,,3,,85A4A2,000000
9H,Tije,9H,Universitas Indonesia - Blok M,,3,,66A4A0,FFFFFF
9N,Tije,9N,Pinang Ranti - BKN,,3,,66A4A0,FFFFFF
9,Tije,9,Pinang Ranti - Pluit,,3,,45A49E,FFFFFF
B11,Tije,B11,Summarecon Bekasi - BNN,,3,,FFFF6D,000000
B13,Tije,B13,Bekasi Barat - Blok M,,3,,9C4782,FFFFFF
B14,Tije,B14,Bekasi Barat - Kuningan,,3,,9C4782,FFFFFF
B21,Tije,B21,Bekasi Timur - BNN,,3,,FFFF6D,000000
BW2,Tije,BW2,Jakarta Modern,,3,,FFB6DB,000000
BW4,Tije,BW4,Pencakar Langit,,3,,FFB6DB,000000
BW9,Tije,BW9,Monas - Pantai Indah Kapuk,,3,,FFB6DB,000000
D11,Tije,D11,Depok - PGC,,3,,FFFF6D,000000
D21,Tije,D21,Universitas Indonesia - Lebak Bulus,,3,,FFFF6D,000000
D31,Tije,D31,Cinere - Kuningan,,3,,9C4782,FFFFFF
D32,Tije,D32,Cinere - Bundaran Senayan,,3,,9C4782,FFFFFF
GR4,Tije,GR4,Taman Kota Intan - Museum Bahari,,3,,D65E62,000000
GR5,Tije,GR5,Kota Tua Explorer,,3,,D65E62,000000
JAK.01,Tije,JAK.01,Tanjung Priok - Plumpang,,3,,00609C,FFFFFF
JAK.02,Tije,JAK.02,Kampung Melayu - Duren Sawit,,3,,00609C,FFFFFF
JAK.03,Tije,JAK.03,Lebak Bulus - Andara,,3,,00609C,FFFFFF
JAK.04,Tije,JAK.04,Grogol - Tubagus Angke,,3,,00609C,FFFFFF
JAK.05,Tije,JAK.05,Semper - Rorotan,,3,,00609C,FFFFFF
JAK.06,Tije,JAK.06,Kampung Rambutan - Pondok Gede,,3,,00609C,FFFFFF
JAK.07,Tije,JAK.07,Tanah Abang - Grogol via Tawakal,,3,,00609C,FFFFFF
JAK.08,Tije,JAK.08,Roxy - Benhil,,3,,00609C,FFFFFF
JAK.09,Tije,JAK.09,Roxy Mas - Karet,,3,,00609C,FFFFFF
JAK.106,Tije,JAK.106,Terminal Kampung Melayu - Terminal Klender,,3,,00609c,FFFFFF
JAK.10A,Tije,JAK.10A,Gondangdia - Cikini via Salemba Raya,,3,,00609C,FFFFFF
JAK.10B,Tije,JAK.10B,Gondangdia - Cikini via Kramat Raya,,3,,00609C,FFFFFF
JAK.10,Tije,JAK.10,Tanah Abang - Kota,,3,,00609C,FFFFFF
JAK.110A,Tije,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,,3,,00609C,FFFFFF
JAK.112,Tije,JAK.112,Terminal Tanah Merah - Pulo Gadung,,3,,00609C,FFFFFF
JAK.113,Tije,JAK.113,Rusun Sindang Koja - Kp. Sawah,,3,,00609C,FFFFFF
JAK.115,Tije,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,,3,,00609C,FFFFFF
JAK.117,Tije,JAK.117,Tanjung Priok - Tanah Merdeka,,3,,00609C,FFFFFF
JAK.118,Tije,JAK.118,Taman Waduk Papanggo - Kota Tua,,3,,00609C,FFFFFF
JAK.11,Tije,JAK.11,Tanah Abang - Kebayoran Lama,,3,,00609C,FFFFFF
JAK.120,Tije,JAK.120,JIS - Terminal Muara Angke,,3,,00609C,FFFFFF
