trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
10B-R01,05:00:00,05:00:10,B03270P,0,,0,
10B-R01,05:02:11,05:02:21,B05785P,1,,0,
10B-R01,05:03:36,05:03:46,B05536P,2,,0,
10B-R01,05:08:07,05:08:17,B02723P,3,,0,
11B-R01,05:00:00,05:00:10,B03291P,0,,0,
11B-R01,05:19:48,05:19:58,B06655P,1,,0,
11B-R01,05:23:20,05:23:30,B06653P,2,,0,
11B-R01,05:26:25,05:26:35,B06652P,3,,0,
11B-R02,05:00:00,05:00:10,B06652P,0,,0,
11B-R02,05:04:04,05:04:14,B06654P,1,,0,
11B-R02,05:26:54,05:27:04,B03291P,2,,0,
11C-R03,05:00:00,05:00:10,B03287P,0,,0,
11C-R03,05:03:26,05:03:36,B02801P,1,,0,
11C-R03,05:05:07,05:05:17,B00396P,2,,0,
11C-R03,05:05:56,05:06:06,B00555P,3,,0,
11C-R03,05:07:14,05:07:24,B02851P,4,,0,
11C-R03,05:09:47,05:09:57,B04898P,5,,0,
11C-R03,05:11:26,05:11:36,B00082P,6,,0,
11C-R03,05:12:24,05:12:34,B05201P,7,,0,
11C-R03,05:15:55,05:16:05,B06654P,8,,0,
11C-R03,05:27:50,05:28:00,B03290P,9,,0,
11C-R04,05:00:00,05:00:10,B03290P,0,,0,
11C-R04,05:06:07,05:06:17,B05202P,1,,0,
11C-R04,05:08:37,05:08:47,B02844P,2,,0,
11C-R04,05:12:40,05:12:50,B03091P,3,,0,
11C-R04,05:21:18,05:21:28,B06655P,4,,0,
11C-R04,05:24:50,05:25:00,B06653P,5,,0,
11C-R04,05:27:55,05:28:05,B06652P,6,,0,
11C-R04,05:30:06,05:30:16,B05200P,7,,0,
11C-R04,05:30:53,05:31:03,B00081P,8,,0,
11C-R04,05:32:24,05:32:34,B04897P,9,,0,
11C-R04,05:33:30,05:33:40,B05300P,10,,0,
11C-R04,05:35:19,05:35:29,B02850P,11,,0,
11C-R04,05:36:30,05:36:40,B00554P,12,,0,
11C-R04,05:37:23,05:37:33,B00395P,13,,0,
11C-R04,05:39:04,05:39:14,B02800P,14,,0,
11C-R04,05:43:16,05:43:26,B03287P,15,,0,
11N-R03,05:00:00,05:00:10,B03271P,0,,0,
11N-R03,05:02:58,05:03:08,B00538P,1,,0,
11N-R03,05:04:05,05:04:15,B01009P,2,,0,
11N-R03,05:06:30,05:06:40,B03745P,3,,0,
11N-R03,05:08:45,05:08:55,B05457P,4,,0,
11N-R03,05:13:48,05:13:58,B03478P,5,,0,
11N-R03,05:15:19,05:15:29,B02159P,6,,0,
11N-R03,05:16:37,05:16:47,B03205P,7,,0,
11N-R03,05:17:38,05:17:48,B00791P,8,,0,
11N-R03,05:19:24,05:19:34,B00922P,9,,0,
11N-R03,05:20:00,05:20:10,B02603P,10,,0,
11N-R03,05:20:38,05:20:48,B00921P,11,,0,
11N-R03,05:22:28,05:22:38,B00354P,12,,0,
11N-R03,05:24:01,05:24:11,B00920P,13,,0,
11N-R03,05:35:18,05:35:28,B05350P,14,,0,
11N-R04,05:00:00,05:00:10,B05350P,0,,0,
11N-R04,05:04:36,05:04:46,B00355P,1,,0,
11N-R04,05:07:04,05:07:14,B02604P,2,,0,
11N-R04,05:09:14,05:09:24,B00792P,3,,0,
11N-R04,05:10:47,05:10:57,B04000P,4,,0,
11N-R04,05:12:13,05:12:23,B03678P,5,,0,
11N-R04,05:13:05,05:13:15,B00266P,6,,0,
11N-R04,05:18:08,05:18:18,B05458P,7,,0,
11N-R04,05:22:02,05:22:12,B01201P,8,,0,
11N-R04,05:23:06,05:23:16,B01202P,9,,0,
11N-R04,05:23:54,05:24:04,B01040P,10,,0,
11N-R04,05:25:01,05:25:11,B03977P,11,,0,
11N-R04,05:25:42,05:25:52,B02077P,12,,0,
11N-R04,05:28:35,05:28:45,B03271P,13,,0,
11P-R01,05:00:00,05:00:10,B03289P,0,,0,
11P-R01,05:02:09,05:02:19,B01676P,1,,0,
11P-R01,05:04:45,05:04:55,B00636P,2,,0,
11P-R01,05:05:17,05:05:27,B00328P,3,,0,
11P-R01,05:07:55,05:08:05,B00100P,4,,0,
11P-R01,05:08:58,05:09:08,B02307P,5,,0,
11P-R01,05:10:25,05:10:35,B01578P,6,,0,
11P-R01,05:11:43,05:11:53,B01622P,7,,0,
11P-R01,05:13:26,05:13:36,B02351P,8,,0,
11P-R01,05:15:43,05:15:53,B01096P,9,,0,
11P-R01,05:17:34,05:17:44,B05885P,10,,0,
11P-R01,05:18:21,05:18:31,B06660P,11,,0,
11P-R01,05:19:52,05:20:02,B00306P,12,,0,
11P-R01,05:20:58,05:21:08,B00195P,13,,0,
11P-R01,05:21:39,05:21:49,B05581P,14,,0,
11P-R01,05:22:36,05:22:46,B00369P,15,,0,
11P-R01,05:24:28,05:24:38,B06662P,16,,0,
11P-R01,05:25:29,05:25:39,B01803P,17,,0,
11P-R01,05:26:32,05:26:42,B02818P,18,,0,
11P-R01,05:28:13,05:28:23,B04648P,19,,0,
11P-R01,05:32:33,05:32:43,B06652P,20,,0,
11P-R01,05:36:35,05:36:45,B06654P,21,,0,
11P-R02,05:00:00,05:00:10,B06654P,0,,0,
11P-R02,05:01:15,05:01:25,B06666P,1,,0,
11P-R02,05:05:24,05:05:34,B06667P,2,,0,
11P-R02,05:06:49,05:06:59,B06655P,3,,0,
11P-R02,05:08:58,05:09:08,B06665P,4,,0,
11P-R02,05:10:30,05:10:40,B06653P,5,,0,
11P-R02,05:17:36,05:17:46,B03280P,6,,0,
11P-R02,05:18:24,05:18:34,B06663P,7,,0,
11P-R02,05:20:08,05:20:18,B00368P,8,,0,
11P-R02,05:21:47,05:21:57,B00227P,9,,0,
11P-R02,05:22:22,05:22:32,B05318P,10,,0,
11P-R02,05:23:17,05:23:27,B00198P,11,,0,
11P-R02,05:24:04,05:24:14,B06661P,12,,0,
11P-R02,05:25:17,05:25:27,B00603P,13,,0,
11P-R02,05:27:36,05:27:46,B05660P,14,,0,
11P-R02,05:29:22,05:29:32,B02352P,15,,0,
11P-R02,05:31:09,05:31:19,B04518P,16,,0,
11P-R02,05:33:33,05:33:43,B02308P,17,,0,
11P-R02,05:35:34,05:35:44,B04476P,18,,0,
11P-R02,05:36:31,05:36:41,B03135P,19,,0,
11P-R02,05:37:34,05:37:44,B00637P,20,,0,
11P-R02,05:40:16,05:40:26,B01677P,21,,0,
11P-R02,05:42:16,05:42:26,B03289P,22,,0,
12C-R03,05:00:00,05:00:10,B03299P,0,,0,
12C-R03,05:02:50,05:03:00,B06292P,1,,0,
